created_at,entry_id,temperature,humidity,moisture,field4
2020-09-11 00:12:06 WIB,3913,26.5,93.3,127,1904.21
2020-09-11 00:12:23 WIB,3914,26.5,93.3,121,1903.74
2020-09-11 00:12:39 WIB,3915,26.5,93.3,110,1901.84
2020-09-11 00:12:55 WIB,3916,26.5,93.3,133,1901.68
2020-09-11 00:13:11 WIB,3917,26.5,93.3,137,1898.79
2020-09-11 00:13:27 WIB,3918,26.5,93.3,102,1898.37
2020-09-11 00:13:44 WIB,3919,26.5,93.3,141,1900.42
2020-09-11 00:14:00 WIB,3920,26.4,93.3,126,1897.11
2020-09-11 00:14:16 WIB,3921,26.4,93.3,138,1894.47
2020-09-11 00:14:32 WIB,3922,26.4,93.3,136,1893.05
2020-09-11 00:14:48 WIB,3923,26.4,93.8,111,1892.37
2020-09-11 00:15:04 WIB,3924,26.4,93.3,130,1890.32
2020-09-11 00:15:20 WIB,3925,26.4,93.3,109,1888.84
2020-09-11 00:15:37 WIB,3926,26.4,93.3,137,1890.84
2020-09-11 00:15:53 WIB,3927,26.4,93.3,121,1890.84
2020-09-11 00:16:09 WIB,3928,26.4,93.9,125,1892.16
2020-09-11 00:16:26 WIB,3929,26.4,93.3,120,1892.89
2020-09-11 00:16:42 WIB,3930, NAN, NAN,119,1892.79
2020-09-11 00:16:58 WIB,3931,26.4,93.4,127,1894.26
2020-09-11 00:17:15 WIB,3932,26.4,93.4,122,1894
2020-09-11 00:17:31 WIB,3933,26.4,93.4,102,1891.79
2020-09-11 00:17:47 WIB,3934,26.4,93.8,138,1891.53
2020-09-11 00:18:03 WIB,3935,26.4,93.8,139,1889.89
2020-09-11 00:18:19 WIB,3936,26.4,93.4,145,1886.84
2020-09-11 00:18:35 WIB,3937,26.4,93.9,151,1884.21
2020-09-11 00:18:52 WIB,3938,26.4,93.4,137,1882.37
2020-09-11 00:19:08 WIB,3939,26.4,93.4,118,1880.32
2020-09-11 00:19:24 WIB,3940,26.4,93.4,146,1880.84
2020-09-11 00:19:40 WIB,3941,26.4,93.4,136,1884.58
2020-09-11 00:19:57 WIB,3942,26.4,93.4,132,1887.05
2020-09-11 00:20:13 WIB,3943,26.3,93.4,133,1888.05
2020-09-11 00:20:29 WIB,3944, NAN, NAN,133,1888.05
2020-09-11 00:20:45 WIB,3945,26.3,93.4,135,1889.63
2020-09-11 00:21:01 WIB,3946,26.4,93.4,122,1888.42
2020-09-11 00:21:17 WIB,3947,26.3,93.4,131,1889.11
2020-09-11 00:21:33 WIB,3948,26.4,93.9,134,1889
2020-09-11 00:21:49 WIB,3949, NAN, NAN,138,1887.26
2020-09-11 00:22:06 WIB,3950,26.3,93.4,128,1883.63
2020-09-11 00:22:22 WIB,3951,26.3,93.4,112,1881.95
2020-09-11 00:22:38 WIB,3952,26.3,93.4,138,1881.74
2020-09-11 00:22:54 WIB,3953,26.3,93.4,128,1883.74
2020-09-11 00:23:11 WIB,3954,26.3,93.4,143,1883
2020-09-11 00:23:27 WIB,3955,26.3,93.4,128,1880.89
2020-09-11 00:23:43 WIB,3956,26.4,93.4,145,1879.05
2020-09-11 00:23:59 WIB,3957,26.3,93.3,130,1876.32
2020-09-11 00:24:16 WIB,3958,26.3,93.4,140,1875.95
2020-09-11 00:24:32 WIB,3959,26.3,93.3,144,1875.53
2020-09-11 00:24:48 WIB,3960,26.3,93.3,108,1871.63
2020-09-11 00:25:04 WIB,3961,26.3,93.3,134,1874
2020-09-11 00:25:21 WIB,3962,26.3,93.3,130,1874.11
